Year Month Day,neg,neu,pos
2016-1-12,0.0,2.0,0.0
2016-1-13,0.0,3.0,0.0
2016-1-14,0.0,23.0,0.0
2016-1-15,0.0,32.0,0.0
2016-1-16,0.0,19.0,0.0
2016-1-17,0.0,15.0,0.0
2016-1-18,0.0,22.0,0.0
2016-1-19,0.0,9.0,0.0
2016-1-2,0.0,8.0,0.0
2016-1-20,0.0,10.0,0.0
2016-1-21,0.0,55.0,0.0
2016-1-22,0.0,58.0,0.0
2016-1-23,1.0,30.0,0.0
2016-1-24,0.0,20.0,0.0
2016-1-25,0.0,21.0,1.0
2016-1-26,1.0,38.0,0.0
2016-1-27,0.0,24.0,0.0
2016-1-28,2.0,59.0,0.0
2016-1-29,0.0,47.0,0.0
2016-1-3,2.0,19.0,0.0
2016-1-30,0.0,13.0,0.0
2016-1-31,1.0,12.0,1.0
2016-1-4,0.0,12.0,1.0
2016-1-5,1.0,16.0,0.0
2016-1-6,0.0,14.0,0.0
2016-1-7,0.0,22.0,0.0
2016-1-8,0.0,17.0,0.0
2016-1-9,0.0,7.0,0.0
2016-10-1,0.0,4.0,0.0
2016-10-10,0.0,8.0,1.0
2016-10-11,0.0,6.0,0.0
2016-10-12,0.0,13.0,0.0
2016-10-13,1.0,9.0,0.0
2016-10-14,0.0,11.0,0.0
2016-10-15,0.0,7.0,0.0
2016-10-16,0.0,3.0,0.0
2016-10-17,1.0,9.0,0.0
2016-10-18,0.0,8.0,0.0
2016-10-19,0.0,7.0,0.0
2016-10-2,0.0,5.0,0.0
2016-10-20,0.0,14.0,2.0
2016-10-21,0.0,8.0,1.0
2016-10-22,0.0,6.0,1.0
2016-10-23,0.0,3.0,0.0
2016-10-24,0.0,5.0,0.0
2016-10-25,0.0,10.0,0.0
2016-10-26,0.0,17.0,0.0
2016-10-27,1.0,38.0,0.0
2016-10-28,1.0,22.0,0.0
2016-10-29,0.0,5.0,0.0
2016-10-3,0.0,6.0,1.0
2016-10-30,0.0,8.0,1.0
2016-10-31,1.0,18.0,1.0
2016-10-4,0.0,9.0,0.0
2016-10-5,0.0,30.0,2.0
2016-10-6,0.0,15.0,0.0
2016-10-7,0.0,11.0,1.0
2016-10-8,0.0,2.0,0.0
2016-10-9,0.0,5.0,0.0
2016-11-1,0.0,8.0,2.0
2016-11-10,0.0,22.0,1.0
2016-11-11,0.0,11.0,0.0
2016-11-12,0.0,2.0,1.0
2016-11-13,0.0,12.0,0.0
2016-11-14,0.0,118.0,5.0
2016-11-15,0.0,73.0,3.0
2016-11-16,5.0,89.0,1.0
2016-11-17,2.0,40.0,3.0
2016-11-18,1.0,24.0,0.0
2016-11-19,0.0,14.0,2.0
2016-11-2,0.0,9.0,1.0
2016-11-20,0.0,8.0,1.0
2016-11-21,0.0,17.0,0.0
2016-11-22,0.0,28.0,0.0
2016-11-23,0.0,36.0,0.0
2016-11-24,0.0,29.0,2.0
2016-11-25,0.0,35.0,0.0
2016-11-26,2.0,26.0,0.0
2016-11-27,1.0,13.0,0.0
2016-11-28,0.0,16.0,2.0
2016-11-29,0.0,33.0,0.0
2016-11-3,0.0,27.0,1.0
2016-11-30,2.0,47.0,1.0
2016-11-4,0.0,39.0,3.0
2016-11-5,0.0,9.0,0.0
2016-11-6,0.0,14.0,0.0
2016-11-7,0.0,19.0,0.0
2016-11-8,0.0,19.0,0.0
2016-11-9,0.0,19.0,0.0
2016-12-1,2.0,37.0,2.0
2016-12-10,1.0,23.0,0.0
2016-12-11,0.0,18.0,0.0
2016-12-12,0.0,23.0,1.0
2016-12-13,0.0,26.0,1.0
2016-12-14,0.0,19.0,0.0
